Hotel_locID,Hotel_geoID_x,Review_id,Review_Date,Date_of_stay,Reviewer_Contributions,Reviewer_helpful_vote,Review_Rating,Trip_type,Review_helpful_votes,Hotel_geoID_y,Hotel_star,Hotel_rating,Location_score,Resaurant_count,Attractions_count,Hotel_styles,Popular_mentions,WordCount,Title,Review,Compound_Score,Unreliable,Stanza_Score
23462501,60763,914533646,Sep 2,August 2023,14,5,3,Traveled as a couple,3,60763,4.0,5.0,100.0,518.0,198.0,"['Charming', 'City View']","['rooftop bar', 'times square', 'front desk', 'heated pool', 'new york', 'floor to ceiling windows', 'bars and restaurants', 'our night stay', 'steamers', 'resort fee', 'every staff member', 'statue of liberty', 'amazing hotel', 'rooms are small', 'mini fridge', 'big apple', 'bryant park', 'nyc', 'staycation', 'pierre', '', '']",156,Good but not Great,"Nice central location in Time Square with Pool and Friendly staff, Comfortable bed and nice clean room. Though there was no where for a second suitcase other than the doorway. The lifts where an absolute joke you spend so much wasted time WAITING for lifts that come and are full. 4 lifts only 2 go to lower floors and one of them is a service lift. This was a daily frustration.  People off the streets get invited into bars and restaurants so you have to battle for the lifts with them as well. I also found no discounts at restaurants or bars for guests disappointing. $21.00 for a house vodka and Soda is just ridiculous! $250 for the day bed and $500 for the cabana by the pool is hi-way robbery. Very disappointing for the price you are paying to stay here.",-0.7069,1,0
12301470,60763,915500723,Sep 8,September 2023,2,0,5,Traveled with friends,1,60763,4.0,4.0,100.0,519.0,140.0,"['Quirky Hotels', 'Trendy']","['rooftop bar', 'times square', 'new york', 'rooms are small', 'steamers', 'fun hotel', 'cool vibe', 'penn station', 'cool hotel', 'amazing hotel', 'hotel room', 'the empire state building', 'few blocks', 'pegs', 'floor', 'nyc', 'elevator', 'hip', 'storage', 'bunk', 'msg', 'mirror']",130,Experience - Cancellation,"I was supposed to stay here the weekend of the 7th but unfortunately due to weather my flight to NYC was cancelled. While in line dealing with that, I called booking and they contacted Moxy. My reservation was non refundable however they said that they’ll put in a request on my behalf. I called at 9:14PM and was on phone for 2 mins. And at 9:39PM I already had confirmation re them waiving my cancellation fee and issuing the refund within 14 days. I was disappointed about my trip being cancelled so the fact that they were so quick and accommodating helped me feel a bit better about the whole situation. I hope to stay with them in the future.",-0.5499,1,0
12301470,60763,915233796,Sep 6,September 2023,5,6,3,Traveled on business,1,60763,4.0,4.0,100.0,519.0,140.0,"['Quirky Hotels', 'Trendy']","['rooftop bar', 'times square', 'new york', 'rooms are small', 'steamers', 'fun hotel', 'cool vibe', 'penn station', 'cool hotel', 'amazing hotel', 'hotel room', 'the empire state building', 'few blocks', 'pegs', 'floor', 'nyc', 'elevator', 'hip', 'storage', 'bunk', 'msg', 'mirror']",53,OK but no service and no towels,No service at all. Good location. No recognition of Marriott status (Ambassador) no daily cleaning which they don't share. 4 calls/texts for towels No response. Free coffee but not until 7am. Clean hotel. Long line to check in and No mobile check in.,-0.7529,1,0
12301470,60763,909365117,Aug 2023,August 2023,0,0,3,Traveled with family,0,60763,4.0,4.0,100.0,519.0,140.0,"['Quirky Hotels', 'Trendy']","['rooftop bar', 'times square', 'new york', 'rooms are small', 'steamers', 'fun hotel', 'cool vibe', 'penn station', 'cool hotel', 'amazing hotel', 'hotel room', 'the empire state building', 'few blocks', 'pegs', 'floor', 'nyc', 'elevator', 'hip', 'storage', 'bunk', 'msg', 'mirror']",70,Perfect Customer Service!,"Anthony Lydia and the front desk agents are awesome! Their service totally rocks!!!! The hotel in itself could be much cleaner. The sofa’s in the lounge area’s are disgusting. Also the windows in the rooms are so dirty you can barely see out side. Honestly, I would hate to see this hotel 5 years from now.",-0.638,1,0
12551350,60763,916099029,Sep 11,September 2023,0,0,3,,0,60763,3.0,4.0,100.0,378.0,127.0,"['Trendy', 'Great View']","['times square', 'bunk beds', 'great location', 'new york', 'rooms are small', 'usb ports', 'frosted glass', 'port authority', 'queen room', 'place to sleep', 'short stay', 'great shower', 'your luggage', 'perfect stay', 'definitely stay here again', 'central location', 'subway station', 'few blocks', '', '', '', '']",48,Room,"The room is too smaller for the high price, and the bed is very hard to sleep. In addition the insolation sound is very bad. Need to down the price for the room experience. The Staff ir very good but the room, terrible",-0.7,1,1
12551350,60763,913242340,Aug 2023,August 2023,0,0,3,Traveled on business,0,60763,3.0,4.0,100.0,378.0,127.0,"['Trendy', 'Great View']","['times square', 'bunk beds', 'great location', 'new york', 'rooms are small', 'usb ports', 'frosted glass', 'port authority', 'queen room', 'place to sleep', 'short stay', 'great shower', 'your luggage', 'perfect stay', 'definitely stay here again', 'central location', 'subway station', 'few blocks', '', '', '', '']",41,"Location great, cleanliness below average","Clogged sink would not drain. I appreciated that someone located the source and cleaned the drain, but I found the offending object, caked in gunk and hair, on the bathroom floor next to the trash can.",-0.7431,1,1
93437,60763,917002202,Sep 17,September 2023,0,0,4,,0,60763,4.0,4.0,100.0,518.0,254.0,"['Classic', 'Centrally Located']","['times square', 'rum house', 'signature room', 'rum bar', 'great location', 'new york', 'art deco', 'renovated room', 'grab and go', 'an older hotel', 'room key', 'the theater district', 'central park', 'coffee machine', 'big apple', 'around the corner', 'street noise', 'rooms are small', 'floor', 'nyc', '', '']",42,Things to CHANGE,The charge for holding baggage while waiting for checkin/checkout is a NO GO. Plus the $89 for early check in  making people wait in the lobby all day is ridiculous. Construction outside  Very dangerous in front of Hotel.,-0.8283,1,0
93437,60763,913920095,Aug 2023,August 2023,10,5,3,,0,60763,4.0,4.0,100.0,518.0,254.0,"['Classic', 'Centrally Located']","['times square', 'rum house', 'signature room', 'rum bar', 'great location', 'new york', 'art deco', 'renovated room', 'grab and go', 'an older hotel', 'room key', 'the theater district', 'central park', 'coffee machine', 'big apple', 'around the corner', 'street noise', 'rooms are small', 'floor', 'nyc', '', '']",52,just ok,"just ok - not pleased with shower (very weird setup) and not having a convenient way to store my things - there is no dresser, drawers or shelves - had to live out of my suitcase  I would not recommend for a stay longer than a day or two",-0.6388,1,1
93437,60763,913561298,Aug 2023,August 2023,0,0,3,,0,60763,4.0,4.0,100.0,518.0,254.0,"['Classic', 'Centrally Located']","['times square', 'rum house', 'signature room', 'rum bar', 'great location', 'new york', 'art deco', 'renovated room', 'grab and go', 'an older hotel', 'room key', 'the theater district', 'central park', 'coffee machine', 'big apple', 'around the corner', 'street noise', 'rooms are small', 'floor', 'nyc', '', '']",67,Not impressed,Title says it all. Better places to stay. Desk staff were not overly helpful or professional. Don’t get the breakfast. Totally not worth it. Better off going elsewhere for breakfast. Told staff about a broken hair dryer. They weren’t the least bit concerned and no apology. Sink had no water pressure to speak of.,-0.7164,1,2
93450,60763,914692772,Sep 3,August 2023,0,0,3,,0,60763,4.0,3.5,100.0,363.0,79.0,"['City View', 'Centrally Located']","['new york', 'great location', 'grand central', 'chrysler building', 'club room', 'times square', 'bryant park', 'lobby', 'nyc', 'subway', 'concierge', 'midtown', 'starbucks', 'jfk', 'avenue', 'broadway']",80,Hyatt Grand central,"The hotel itself seems a little dated on the inside. The other issue is somebody decided to put in some funky, touch light switches that are basically useless at the time. Don’t bother to go there if you bring a car and need to get it anytime soon from the valet you’re going to wait over an hour for it, and that in itself turned me off to the whole stay.",-0.6808,1,2
